cellType,geneID
Prohemocyte,FBgn0003507
Prohemocyte,FBgn0002985
Prohemocyte,FBgn0284084
Prohemocyte,FBgn0003892
Prohemocyte,FBgn0043903
Prohemocyte,FBgn0003391
Prohemocyte,FBgn0041180
Prohemocyte,FBgn0001168
Plasmatocyte,FBgn0014179
Plasmatocyte,FBgn0019809
Plasmatocyte,FBgn0011828
Plasmatocyte,FBgn0029167
Plasmatocyte,FBgn0015924
Plasmatocyte,FBgn0243514
Plasmatocyte,FBgn0040104
Plasmatocyte,FBgn0028430
Plasmatocyte,FBgn0259896
Plasmatocyte,FBgn0000299
Plasmatocyte,FBgn0039938
Plasmatocyte,FBgn0024251
Plasmatocyte,FBgn0023097
Plasmatocyte,FBgn0259176
Plasmatocyte,FBgn0033968
Plasmatocyte,FBgn0086758
Plasmatocyte,FBgn0003870
Crystal Cell,FBgn0002576
Crystal Cell,FBgn0283437
Crystal Cell,FBgn0013469
Crystal Cell,FBgn0039938
Crystal Cell,FBgn0002643
Lamellocyte,FBgn0010909
Lamellocyte,FBgn0001319
Lamellocyte,FBgn0014141
Lamellocyte,FBgn0004657
Lamellocyte,FBgn0010395
Lamellocyte,FBgn0034005
Lamellocyte,FBgn0034880
Lamellocyte,FBgn0262975
Lamellocyte,FBgn0015371
Lamellocyte,FBgn0032422
Lamellocyte,FBgn0038197
Lamellocyte,FBgn0263118
Lamellocyte,FBgn0001297
Lamellocyte,FBgn0004907
Lamellocyte,FBgn0000568
Lamellocyte,FBgn0003118
